customer_id,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage_gb,is_senior,has_partner,num_products,churned
CUST00779,20,one_year,dsl,mailed_check,57.43,1078.31,0,372.7,1,1,5,0
CUST00335,34,month_to_month,fiber,electronic_check,80.57,2474.16,1,260.4,0,0,5,0
CUST00272,2,month_to_month,dsl,electronic_check,47.74,92.89,1,85.4,0,0,1,1
CUST00803,38,month_to_month,fiber,bank_transfer,91.97,3409.85,1,166.0,0,0,4,1
CUST00217,6,one_year,none,mailed_check,41.67,248.94,3,0.0,0,1,2,0
CUST00409,68,month_to_month,dsl,electronic_check,53.63,4011.32,4,255.0,0,1,4,0
CUST00813,50,one_year,dsl,mailed_check,57.55,2974.28,1,152.5,1,1,3,0
CUST00095,65,month_to_month,none,credit_card,37.11,2262.91,0,0.0,0,1,4,0
CUST00488,39,one_year,fiber,electronic_check,65.0,2297.3,2,179.9,1,0,5,0
CUST00171,8,one_year,fiber,credit_card,78.28,664.15,1,127.6,0,1,4,1
CUST00025,57,two_year,fiber,mailed_check,65.0,3629.03,2,249.4,0,0,4,0
CUST00243,7,month_to_month,none,credit_card,35.05,250.87,1,0.0,0,0,5,0
CUST00543,15,month_to_month,fiber,electronic_check,68.96,1061.19,3,381.7,0,0,3,1
CUST00931,39,month_to_month,dsl,credit_card,50.66,2084.29,0,411.8,0,0,3,0
CUST00887,4,month_to_month,dsl,electronic_check,69.75,294.85,3,111.2,0,1,5,0
CUST00427,63,two_year,dsl,credit_card,53.04,3088.69,3,126.6,0,1,3,0
CUST00126,41,one_year,dsl,mailed_check,50.0,2196.44,4,190.7,0,0,4,0
CUST00454,2,two_year,dsl,mailed_check,45.0,92.36,6,199.1,0,0,5,1
CUST00651,36,month_to_month,fiber,electronic_check,74.86,2519.89,3,438.0,0,0,4,1
CUST00914,71,two_year,dsl,mailed_check,51.45,3604.54,1,353.7,0,0,5,0
CUST00169,25,month_to_month,dsl,credit_card,52.98,1314.89,1,399.4,0,1,3,0
CUST00777,31,month_to_month,none,bank_transfer,20.0,610.44,0,0.0,0,0,3,0
CUST00573,21,one_year,fiber,bank_transfer,68.37,1326.73,3,347.0,0,0,3,1
CUST00849,60,one_year,dsl,credit_card,59.8,3475.92,4,123.8,1,1,2,1
CUST00876,37,month_to_month,none,electronic_check,26.27,990.58,0,0.0,0,0,3,0
CUST00591,58,one_year,fiber,mailed_check,72.97,4099.91,3,312.3,0,1,3,0
CUST00026,47,two_year,dsl,electronic_check,56.04,2587.34,2,393.6,0,0,4,0
CUST00485,34,month_to_month,fiber,credit_card,66.79,2047.97,0,422.6,0,0,3,1
CUST00706,41,one_year,dsl,credit_card,48.88,1812.75,2,278.6,0,1,3,0
CUST00890,20,two_year,fiber,electronic_check,81.13,1507.5,3,309.7,0,0,3,0
CUST00682,10,month_to_month,none,electronic_check,29.25,270.6,5,0.0,0,0,3,1
CUST00014,55,month_to_month,dsl,electronic_check,58.19,3054.12,1,102.0,0,1,5,0
CUST00880,46,two_year,fiber,mailed_check,68.61,3247.34,1,190.6,0,0,1,0
CUST00278,57,one_year,dsl,credit_card,53.65,2792.13,0,712.2,0,1,4,0
CUST00317,53,month_to_month,fiber,electronic_check,68.75,3628.6,3,93.4,0,1,3,1
CUST00300,2,month_to_month,dsl,credit_card,45.3,87.13,3,279.8,0,0,5,1
CUST00114,34,one_year,none,mailed_check,28.05,898.64,0,,0,0,2,0
CUST00963,61,month_to_month,fiber,electronic_check,79.15,5058.7,1,161.8,0,1,3,1
CUST00570,42,month_to_month,dsl,bank_transfer,48.92,1941.85,1,277.6,0,1,1,0
CUST00061,67,month_to_month,fiber,bank_transfer,82.83,5027.54,0,253.0,0,1,3,1
CUST00714,56,month_to_month,dsl,electronic_check,59.52,3586.67,1,68.5,0,0,4,0
CUST00908,13,two_year,fiber,credit_card,75.6,974.06,0,60.0,0,0,3,0
CUST00716,58,one_year,dsl,electronic_check,48.78,2797.02,0,265.2,1,0,1,0
CUST00726,9,month_to_month,none,credit_card,24.86,203.7,1,0.0,0,1,5,0
CUST00708,42,two_year,fiber,mailed_check,79.42,3599.1,0,216.3,0,0,3,0
CUST00759,10,one_year,dsl,electronic_check,45.0,455.83,1,234.2,0,0,1,1
CUST00340,69,one_year,fiber,electronic_check,76.83,5528.75,5,178.6,0,0,5,1
CUST00734,56,two_year,none,electronic_check,24.84,1364.54,1,0.0,0,1,4,0
CUST00980,41,month_to_month,dsl,credit_card,58.59,2491.22,2,749.4,0,0,2,1
CUST00100,11,month_to_month,fiber,bank_transfer,80.86,921.11,0,294.1,0,0,1,1
CUST00961,12,month_to_month,fiber,bank_transfer,65.0,828.65,1,286.5,0,0,4,0
CUST00290,35,two_year,fiber,electronic_check,66.62,2398.89,3,211.7,0,1,1,0
CUST00975,11,month_to_month,fiber,credit_card,77.71,860.01,0,165.3,0,1,1,1
CUST00035,64,month_to_month,dsl,bank_transfer,54.08,3322.9,1,183.7,0,0,5,1
CUST00054,34,one_year,none,credit_card,45.86,1560.23,0,0.0,0,1,5,0
CUST00320,56,month_to_month,fiber,credit_card,73.57,4067.89,1,43.9,0,1,5,1
CUST00957,29,one_year,dsl,bank_transfer,51.12,1394.77,2,475.9,1,0,2,1
CUST00907,30,month_to_month,fiber,credit_card,85.25,2399.32,1,,0,1,2,1
CUST00787,3,month_to_month,fiber,bank_transfer,69.03,222.41,3,243.8,0,0,4,1
CUST00942,30,month_to_month,dsl,bank_transfer,59.55,1888.49,1,304.4,1,1,4,1
CUST00702,45,month_to_month,none,credit_card,26.47,1072.8,3,0.0,0,0,2,0
CUST00455,43,month_to_month,dsl,bank_transfer,54.3,2173.2,1,116.2,0,0,1,1
CUST00363,17,two_year,fiber,electronic_check,85.39,1431.04,1,125.0,0,0,4,1
CUST00025,57,two_year,fiber,mailed_check,65.0,3629.03,2,249.4,0,0,4,0
CUST00165,31,month_to_month,none,electronic_check,20.52,699.07,3,0.0,0,0,5,1
CUST00474,34,one_year,none,credit_card,20.28,651.98,1,0.0,0,0,2,0
CUST00378,54,two_year,none,credit_card,29.48,1440.13,3,0.0,0,1,2,0
CUST00373,30,one_year,dsl,electronic_check,45.0,1248.84,2,164.2,0,1,2,1
CUST00309,23,one_year,fiber,mailed_check,68.68,1637.94,1,465.9,0,0,2,1
CUST00846,1,month_to_month,fiber,electronic_check,67.31,68.69,2,86.9,0,0,2,1
CUST00588,8,two_year,dsl,electronic_check,49.65,379.42,2,162.8,0,0,4,0
CUST00906,52,month_to_month,fiber,electronic_check,68.07,3246.56,3,97.9,0,1,1,1
CUST00348,68,month_to_month,fiber,electronic_check,75.57,5433.54,2,323.7,0,0,5,0
CUST00690,57,month_to_month,fiber,bank_transfer,65.0,3865.38,2,368.3,0,0,4,0
CUST00109,34,one_year,fiber,electronic_check,74.67,2733.53,4,163.5,1,0,1,1
CUST00694,69,month_to_month,dsl,electronic_check,63.86,4119.39,0,433.1,0,1,1,1
CUST00257,49,month_to_month,dsl,electronic_check,49.82,2221.25,2,249.7,0,1,3,1
CUST00719,17,month_to_month,dsl,bank_transfer,61.21,1049.49,2,249.7,0,1,4,1
CUST00791,7,two_year,dsl,electronic_check,57.69,434.14,1,292.8,0,0,4,0
CUST00473,32,month_to_month,dsl,credit_card,58.16,2040.03,1,180.4,1,0,5,1
CUST00603,54,two_year,dsl,bank_transfer,47.74,2346.76,5,116.7,0,0,2,0
CUST00811,4,two_year,dsl,bank_transfer,45.0,178.14,2,256.9,0,1,1,0
CUST00930,42,month_to_month,fiber,credit_card,79.9,3199.86,3,448.9,0,0,1,1
CUST00352,4,month_to_month,dsl,mailed_check,49.62,205.72,1,359.8,1,0,4,0
CUST00542,4,month_to_month,none,credit_card,20.0,86.07,2,0.0,0,0,2,1
CUST00229,40,two_year,none,credit_card,36.89,1430.27,1,0.0,0,0,4,0
CUST00205,33,month_to_month,fiber,electronic_check,85.78,2744.61,2,150.1,0,1,4,0
CUST00625,44,two_year,dsl,electronic_check,57.05,2485.37,1,210.6,1,0,2,0
CUST00783,9,month_to_month,fiber,electronic_check,79.03,766.13,1,72.4,0,0,3,1
CUST00967,44,month_to_month,fiber,electronic_check,65.0,2775.37,1,289.1,0,0,2,0
CUST00154,22,one_year,dsl,electronic_check,56.42,1278.11,0,342.8,0,0,1,1
CUST00677,42,one_year,dsl,bank_transfer,49.97,2136.32,1,341.2,0,0,2,0
CUST00027,29,month_to_month,dsl,bank_transfer,52.14,1417.62,4,193.4,0,1,5,1
CUST00058,12,month_to_month,fiber,bank_transfer,83.85,934.04,1,254.0,1,0,5,1
CUST00047,33,one_year,dsl,bank_transfer,55.86,1910.25,5,278.8,0,1,2,0
CUST00099,46,one_year,dsl,credit_card,63.65,2679.22,0,151.4,1,0,1,1
CUST00972,31,month_to_month,fiber,bank_transfer,71.42,2323.62,0,332.6,0,0,1,0
CUST00740,65,month_to_month,none,electronic_check,38.08,2278.36,1,0.0,0,1,4,0
CUST00298,32,month_to_month,dsl,credit_card,46.6,1424.29,1,344.6,0,0,2,0
CUST00973,35,month_to_month,dsl,credit_card,70.64,2311.47,0,395.4,0,0,3,0
CUST00494,44,month_to_month,fiber,bank_transfer,71.09,3179.36,1,95.9,0,0,4,1
CUST00141,71,month_to_month,fiber,mailed_check,65.0,5019.84,3,194.0,0,1,4,0
CUST00654,58,month_to_month,fiber,bank_transfer,75.74,4721.95,2,270.8,0,1,5,1
CUST00644,35,month_to_month,dsl,electronic_check,45.21,1598.98,1,232.1,0,1,4,0
CUST00423,56,month_to_month,dsl,electronic_check,58.23,3507.65,1,357.6,0,1,3,0
CUST00260,43,one_year,fiber,electronic_check,86.38,3498.49,1,270.7,0,1,3,0
CUST00889,2,two_year,dsl,bank_transfer,51.9,99.97,2,232.8,0,1,1,0
CUST00064,70,one_year,dsl,electronic_check,45.0,,3,343.2,0,0,4,0
CUST00886,53,month_to_month,fiber,electronic_check,78.16,4082.7,3,127.2,0,1,5,1
CUST00955,57,month_to_month,fiber,credit_card,83.97,4395.58,1,242.6,0,1,3,1
CUST00730,48,month_to_month,none,credit_card,39.02,1854.68,3,0.0,0,0,2,1
CUST00510,18,one_year,fiber,electronic_check,65.0,1054.61,4,349.1,1,0,1,1
