date,sales,store_traffic,temperature_c,is_promotion,is_holiday,day_of_week
2024-01-01,1407.99,769.0,-2.2,0,1,monday
2024-01-02,894.63,570.0,2.4,0,0,tuesday
2024-01-03,1052.49,614.0,1.4,0,0,wednesday
2024-01-04,942.7,569.0,-0.6,0,0,thursday
2024-01-05,1065.32,639.0,0.1,0,0,friday
2024-01-06,1344.23,828.0,0.1,0,0,saturday
2024-01-07,1874.38,985.0,0.5,1,0,sunday
2024-01-08,1525.57,785.0,5.5,1,0,monday
2024-01-09,1197.98,659.0,6.3,1,0,tuesday
2024-01-10,913.02,537.0,-5.8,0,0,wednesday
2024-01-11,1059.69,623.0,2.2,0,0,thursday
2024-01-12,1206.18,719.0,3.4,0,0,friday
2024-01-13,1486.02,844.0,0.5,0,0,saturday
2024-01-14,1156.68,722.0,3.3,0,0,sunday
2024-01-15,986.28,608.0,5.1,0,0,monday
2024-01-16,908.07,568.0,-2.4,0,0,tuesday
2024-01-17,915.14,539.0,1.4,0,0,wednesday
2024-01-18,1068.97,655.0,5.9,0,0,thursday
2024-01-19,1145.31,714.0,-2.0,0,0,friday
2024-01-20,1407.81,800.0,0.8,0,0,saturday
2024-01-21,1366.0,772.0,-0.0,0,0,sunday
2024-01-22,1006.29,618.0,3.7,0,0,monday
2024-01-23,917.13,588.0,4.1,0,0,tuesday
2024-01-24,1093.94,617.0,1.6,0,0,wednesday
2024-01-25,1023.77,609.0,1.3,0,0,thursday
2024-01-26,1167.73,696.0,-3.1,0,0,friday
2024-01-27,1227.79,741.0,4.8,0,0,saturday
2024-01-28,1258.58,788.0,0.4,0,0,sunday
2024-01-29,1010.96,623.0,1.0,0,0,monday
2024-01-30,1030.4,608.0,3.9,0,0,tuesday
2024-01-31,892.87,551.0,2.0,0,0,wednesday
2024-02-01,1094.43,652.0,4.1,0,0,thursday
2024-02-02,1228.26,744.0,3.1,0,0,friday
2024-02-03,1302.12,824.0,2.2,0,0,saturday
2024-02-04,1403.84,799.0,2.5,0,0,sunday
2024-02-05,1023.66,606.0,-1.0,0,0,monday
2024-02-06,867.68,519.0,1.5,0,0,tuesday
2024-02-07,1022.1,606.0,4.7,0,0,wednesday
2024-02-08,905.22,591.0,-0.2,0,0,thursday
2024-02-09,1461.92,807.0,0.3,1,0,friday
2024-02-10,1873.91,1080.0,-0.0,1,0,saturday
2024-02-11,1766.21,951.0,2.7,1,0,sunday
2024-02-12,1535.11,820.0,5.9,1,0,monday
2024-02-13,964.07,581.0,3.8,0,0,tuesday
2024-02-14,1526.15,803.0,-2.9,0,1,wednesday
2024-02-15,1400.28,806.0,4.3,1,0,thursday
2024-02-16,1672.64,935.0,1.7,1,0,friday
2024-02-17,1944.38,1035.0,4.1,1,0,saturday
2024-02-18,1804.01,966.0,2.6,1,0,sunday
2024-02-19,934.78,598.0,0.9,0,0,monday
2024-02-20,1438.78,743.0,3.0,1,0,tuesday
2024-02-21,1455.86,742.0,2.2,1,0,wednesday
2024-02-22,1434.03,763.0,4.2,1,0,thursday
2024-02-23,1083.73,699.0,1.3,0,0,friday
2024-02-24,1539.32,927.0,0.9,0,0,saturday
2024-02-25,1187.45,710.0,5.6,0,0,sunday
2024-02-26,1042.89,639.0,6.7,0,0,monday
2024-02-27,1074.65,618.0,5.5,0,0,tuesday
2024-02-28,991.98,604.0,2.6,0,0,wednesday
2024-02-29,1228.97,687.0,2.5,0,0,thursday
2024-03-01,1274.56,749.0,2.7,0,0,friday
2024-03-02,1489.72,893.0,6.8,0,0,saturday
2024-03-03,1279.64,748.0,2.7,0,0,sunday
2024-03-04,1103.15,630.0,7.1,0,0,monday
2024-03-05,1030.73,603.0,6.6,0,0,tuesday
2024-03-06,987.0,600.0,8.3,0,0,wednesday
2024-03-07,986.36,614.0,8.0,0,0,thursday
2024-03-08,1074.79,682.0,6.8,0,0,friday
2024-03-09,1286.42,864.0,1.9,0,0,saturday
2024-03-10,1196.28,720.0,7.3,0,0,sunday
2024-03-11,971.4,598.0,6.2,0,0,monday
2024-03-12,825.37,507.0,5.2,0,0,tuesday
2024-03-13,1075.41,626.0,9.7,0,0,wednesday
2024-03-14,1093.97,666.0,6.0,0,0,thursday
2024-03-15,1278.06,720.0,5.2,0,0,friday
2024-03-16,1546.08,959.0,9.5,0,0,saturday
2024-03-17,1302.04,821.0,5.9,0,0,sunday
2024-03-18,974.67,622.0,5.6,0,0,monday
2024-03-19,965.99,569.0,4.4,0,0,tuesday
2024-03-20,995.9,577.0,5.4,0,0,wednesday
2024-03-21,1035.73,643.0,5.8,0,0,thursday
2024-03-22,1135.86,719.0,9.3,0,0,friday
2024-03-23,1544.38,882.0,5.4,0,0,saturday
2024-03-24,1210.78,779.0,3.5,0,0,sunday
2024-03-25,1036.87,604.0,9.0,0,0,monday
2024-03-26,975.45,605.0,6.9,0,0,tuesday
2024-03-27,977.23,583.0,8.6,0,0,wednesday
2024-03-28,1094.6,636.0,12.0,0,0,thursday
2024-03-29,1146.74,682.0,9.2,0,0,friday
2024-03-30,1410.39,865.0,13.0,0,0,saturday
2024-03-31,1479.08,849.0,9.2,0,0,sunday
2024-04-01,976.41,585.0,12.1,0,0,monday
2024-04-02,1105.54,584.0,8.4,0,0,tuesday
2024-04-03,882.5,574.0,10.2,0,0,wednesday
