property_id,living_area_sqft,lot_area_sqft,bedrooms,bathrooms,house_age_years,neighborhood,condition,garage_spaces,has_basement,distance_to_center_km,sale_price
PROP00001,2462.0,5032.0,4,2.3,31,suburb_north,good,1,0,9.1,441500.0
PROP00002,2832.0,15576.0,5,3.1,0,suburb_north,fair,1,1,8.2,693276.0
PROP00003,2597.0,5146.0,5,3.1,38,downtown,fair,1,1,1.6,612488.0
PROP00004,617.0,1442.0,2,1.4,31,riverside,poor,2,1,9.4,143447.0
PROP00005,1560.0,3989.0,3,1.6,12,downtown,excellent,1,1,2.4,487486.0
PROP00006,1802.0,4932.0,3,1.8,28,suburb_north,good,1,1,10.6,383538.0
PROP00007,2055.0,7167.0,3,2.7,28,riverside,good,2,1,,513738.0
PROP00008,850.0,3870.0,1,1.4,6,suburb_north,good,2,0,14.3,215354.0
PROP00009,841.0,4667.0,1,1.4,60,suburb_north,excellent,1,1,10.6,197220.0
PROP00010,2519.0,10083.0,4,2.2,26,rural,excellent,2,1,28.6,425950.0
PROP00011,1492.0,6022.0,2,1.0,3,downtown,good,2,0,2.2,384144.0
PROP00012,982.0,3085.0,3,2.4,2,rural,fair,1,1,39.1,175084.0
PROP00013,1193.0,6159.0,3,2.4,92,downtown,fair,1,1,3.6,291141.0
PROP00014,2015.0,4562.0,3,2.1,11,suburb_north,good,0,0,15.8,414061.0
PROP00015,1348.0,4131.0,3,1.9,87,suburb_south,good,1,0,6.6,205563.0
PROP00016,1933.0,4267.0,3,1.4,15,suburb_north,good,3,1,8.4,415662.0
PROP00017,1262.0,3407.0,3,2.3,8,suburb_south,fair,0,0,8.4,228887.0
PROP00018,841.0,3586.0,2,2.0,52,suburb_north,good,3,1,13.3,191753.0
PROP00019,2583.0,6016.0,5,2.7,83,suburb_south,good,0,0,5.8,332424.0
PROP00020,2019.0,4487.0,3,1.7,6,downtown,fair,1,1,3.5,543436.0
PROP00021,1616.0,8514.0,3,2.5,31,riverside,excellent,2,1,3.9,509304.0
PROP00022,1513.0,3475.0,1,1.0,72,suburb_south,good,2,0,17.6,187555.0
PROP00023,2606.0,11346.0,5,3.7,6,suburb_south,fair,0,1,4.0,503032.0
PROP00024,2125.0,6967.0,3,2.0,16,downtown,fair,0,0,3.1,477667.0
PROP00025,2431.0,13528.0,4,2.3,29,suburb_south,good,2,0,6.8,444504.0
PROP00026,1479.0,7057.0,1,1.0,77,suburb_south,good,1,1,6.9,241044.0
PROP00027,1828.0,3747.0,3,1.8,77,suburb_north,fair,2,0,17.9,240564.0
PROP00028,2021.0,11239.0,4,3.0,68,suburb_south,good,2,1,9.9,366361.0
PROP00029,1497.0,5297.0,2,1.9,63,downtown,good,0,1,1.4,347035.0
PROP00030,1747.0,5333.0,3,2.4,2,suburb_north,poor,2,0,17.7,302107.0
PROP00031,1479.0,6841.0,2,1.6,22,riverside,good,0,0,6.6,303010.0
PROP00032,2019.0,9722.0,4,2.3,88,downtown,good,3,1,3.8,495103.0
PROP00033,1073.0,3298.0,2,1.5,69,suburb_north,fair,3,0,3.4,208759.0
PROP00034,2115.0,6931.0,3,1.8,23,suburb_south,fair,2,1,9.9,375283.0
PROP00035,1971.0,4842.0,3,2.6,67,riverside,fair,3,0,16.8,366770.0
PROP00036,1688.0,7246.0,4,2.9,69,downtown,good,2,1,1.7,521097.0
PROP00037,2047.0,11912.0,4,2.5,71,downtown,excellent,0,0,1.5,485607.0
PROP00038,1599.0,5676.0,2,1.1,94,suburb_north,good,0,1,6.9,267910.0
PROP00039,1431.0,8563.0,4,3.1,51,suburb_south,excellent,0,1,6.3,319445.0
PROP00040,2099.0,5333.0,4,2.6,5,suburb_south,good,2,0,13.6,466330.0
PROP00041,2123.0,10920.0,4,2.4,78,suburb_south,good,2,1,14.2,372395.0
PROP00042,1521.0,8667.0,3,2.6,1,riverside,good,2,0,11.4,427009.0
PROP00043,1474.0,6913.0,3,1.8,61,rural,good,2,0,21.5,201381.0
PROP00044,1699.0,3838.0,3,1.9,76,suburb_north,excellent,1,0,3.1,303663.0
PROP00045,1496.0,4745.0,1,1.0,12,downtown,good,0,1,1.3,359889.0
PROP00046,2639.0,5700.0,5,2.5,76,suburb_north,good,1,1,12.0,459766.0
PROP00047,1974.0,8542.0,3,2.1,77,downtown,excellent,3,0,0.9,551895.0
PROP00048,1808.0,10834.0,3,1.7,62,suburb_north,excellent,1,1,6.2,401033.0
PROP00049,1287.0,4342.0,2,1.3,31,rural,excellent,1,1,25.0,199118.0
